"Variant SKU","Selling Price",LandingPage
ARISTOINTUIEDTW-80B,46.95,https://fragrancebuy.ca/products/aristocrazyintuitive-woman?variant=39815977402430
ARISTOBRILLNTEDTW-80B,46.95,https://fragrancebuy.ca/products/aristocrazybrilliant-woman?variant=39815974715454
ARISTOBRVEEDTW-80B,46.95,https://fragrancebuy.ca/products/aristocrazybrave-woman?variant=39815969636414
RLPOLEARM-100B,114.99,https://fragrancebuy.ca/products/ralphlaurenpoloearth-man?variant=39809132003390
LATADAMAKGOLM-100B,23.70,https://fragrancebuy.ca/products/lattafaalduralmaknoongold-man?variant=39806386438206
LMDLVM-30S,99.00,https://fragrancebuy.ca/products/lamaisondelavanille5pcsgiftset-man?variant=39806380638270
LMDLVMTBOUM-10S,69.95,https://fragrancebuy.ca/products/lamaisondelavanillemadagascartropiquesbourbon-man?variant=39806341611582
FLONVOYEDPM-100T,99.00,https://fragrancebuy.ca/products/florisnerolivoyage-man?variant=39806166794302
FLO71/72EDPM-100T,99.00,https://fragrancebuy.ca/products/floris7172-man?variant=39806145003582
FLOJFEDTM-100T,65.00,https://fragrancebuy.ca/products/florisjf-man?variant=39806133698622
FLON89EDTM-100T,65.00,https://fragrancebuy.ca/products/florisno89-man?variant=39806125735998
FLOCEFEDTM-50T,65.00,https://fragrancebuy.ca/products/floriscefiro-man?variant=39806122655806
MEMIBLEAEDPM-75B,249.00,https://fragrancebuy.ca/products/memoparisiberianleather-man?variant=39795675594814
AZZCEDPM-100B,98.98,https://fragrancebuy.ca/products/azzarochromeedpedition-man?variant=39795405520958
MANICBOISM-120B,137.95,https://fragrancebuy.ca/products/manceraintensecedratboise-man?variant=39793906942014
FLKUIACHM-50B,319.00,https://fragrancebuy.ca/products/floraikuiamcominghome-man?variant=39793812734014
LATAAHMDM-100B,43.95,https://fragrancebuy.ca/products/lattafaalahmeed-man?variant=39793771610174
LATETOUDM-100B,49.95,https://fragrancebuy.ca/products/lattafaeternaloud-man?variant=39793762172990
TEDLAPCRETVW-75B,23.95,https://fragrancebuy.ca/products/tedlapiduscreationthevert-woman?variant=39792759832638
ALEXMCQEAUBLW-75B,75.00,https://fragrancebuy.ca/products/alexandermcqueeneaublanche-woman?variant=39792756031550
PRPHLEGEDTM-100T,99.00,https://fragrancebuy.ca/products/pacorabannephantomlegion-man?variant=39792738205758
LANTUCASEDPM-100B,199.00,https://fragrancebuy.ca/products/lancometubereusescastane-man?variant=39792690397246
MONAQPLMM-100B,139.95,https://fragrancebuy.ca/products/montaleaquapalma-man?variant=39792660611134
BYMNEDPM-100B,279.00,https://fragrancebuy.ca/products/byredomumbainoise-man?variant=39790146682942
BYMNEDPM-50B,199.00,https://fragrancebuy.ca/products/byredomumbainoise-man?variant=39790145699902
